epoch,accuracy,loss,val_accuracy,val_loss
0,0.5564236,0.2973096168437493,0.6763463020324707,0.21218833681298882
1,0.66008395,0.22334829633255746,0.7196835875511169,0.1960317982329848
2,0.70764613,0.19341573040736348,0.7494103908538818,0.18119039999845937
3,0.7418258,0.1827056605234701,0.7752309441566467,0.16109191622194005
4,0.7678313,0.16636480159871797,0.7893326878547668,0.1503566159398516
5,0.7693142,0.15827135545642754,0.7507615685462952,0.16106639217935215
6,0.8003111,0.14245418698586254,0.8013217449188232,0.1335321636819049
7,0.8238209,0.13059695494307044,0.8386890888214111,0.12156571678364475
8,0.823206,0.12146757829965317,0.8447081446647644,0.11332460698666494
9,0.8387225,0.1136593598242942,0.857458770275116,0.10853511535495684
10,0.8440394,0.10915010837306606,0.8577289581298828,0.0994373401884216
11,0.8605686,0.09901229451072513,0.8702585101127625,0.08876664780121482
12,0.8602431,0.09679562910111657,0.8770391345024109,0.08980471188027556
13,0.8614366,0.09411846074453681,0.8619053959846497,0.08998388196058694
14,0.8580006,0.09355363767810805,0.8788816928863525,0.08287415060713806
15,0.8646918,0.09400700953198272,0.8901090621948242,0.0816062017040358
16,0.8750723,0.08533836273770583,0.8825176358222961,0.07889995616937868
17,0.87080437,0.09035461261827199,0.889568567276001,0.08054880810212035
18,0.8854167,0.08241806876874036,0.8822474479675293,0.07625703818231656
19,0.88498265,0.08023520966687361,0.8885367512702942,0.07145313889776146
20,0.89539933,0.0797625636769629,0.889568567276001,0.08042758662068383
21,0.8900463,0.07853075506944736,0.8835495114326477,0.07828387305222823
22,0.8959418,0.07557469866447501,0.8825176358222961,0.07907709907431629
23,0.89442277,0.07499260781461843,0.893474817276001,0.07150019680597505
24,0.89883536,0.07316446965792503,0.887996256351471,0.07147957512192964
25,0.8963759,0.0720768133978104,0.8882665038108826,0.0751581449288031
26,0.89435035,0.0739502143166402,0.893474817276001,0.0723174497979122
27,0.89858216,0.07399834395280505,0.8950471878051758,0.07097789855128493
28,0.89521843,0.07431027908239338,0.9002555012702942,0.0721040343382082
29,0.8956525,0.07174996528103741,0.8989534378051758,0.07060392946004868
