epoch,accuracy,loss,val_accuracy,val_loss
0,0.5607007,0.29103002750795653,0.6634114384651184,0.23102295163430667
1,0.6658144,0.21838973352202662,0.7914496660232544,0.14966200527391935
2,0.7830019,0.1607332232698376,0.8513454794883728,0.11127379255598052
3,0.8695076,0.11401346595328878,0.8997395634651184,0.08813922231396039
4,0.9089962,0.08346943560508861,0.9305555820465088,0.05239834786768545
5,0.9245265,0.06922719306627001,0.9422743320465088,0.048091781864825045
6,0.93035036,0.06329448978073716,0.9418402910232544,0.04971284889861157
7,0.9458807,0.055666360484683694,0.9516059160232544,0.04011661492353469
8,0.94853216,0.04825449488196757,0.9496527910232544,0.0381375172322518
9,0.9537405,0.04525727879312823,0.9496527910232544,0.03561723733876358
10,0.9505682,0.04669076942459301,0.9652777910232544,0.027248937456884927
11,0.95426136,0.04310659471745065,0.9613715410232544,0.029468068722308727
12,0.9599432,0.04080996304458263,0.9633246660232544,0.025360875468897193
13,0.9599432,0.04176370842556808,0.9652777910232544,0.025133336861536168
14,0.95733905,0.038075879443444975,0.9652777910232544,0.0298872356744189
15,0.96515155,0.03700896962860311,0.9652777910232544,0.025580904593593197
16,0.96207386,0.03454952109970298,0.9652777910232544,0.027460147888121896
17,0.9547822,0.036887828646174965,0.9594184160232544,0.027707288825982494
18,0.9609849,0.03516451440232122,0.9672309160232544,0.026824258970456163
19,0.95847535,0.032812704017673965,0.9613715410232544,0.02787095630181986
20,0.9673769,0.03423273256596397,0.9672309160232544,0.026565621982802424
21,0.9595644,0.03384377003884783,0.9672309160232544,0.023647930015597427
22,0.96415716,0.033328601461480124,0.9652777910232544,0.02493117597738379
23,0.96666664,0.03087287715966925,0.9652777910232544,0.024144700728356838
24,0.9693182,0.030383345920568197,0.9652777910232544,0.026253101677356058
25,0.96160036,0.03167605071383364,0.9633246660232544,0.025353091785259414
26,0.96979165,0.02832325098504493,0.9672309160232544,0.02582272343141468
27,0.9647254,0.02817991361314175,0.9652777910232544,0.025903849078244286
28,0.96979165,0.02900154737670437,0.9652777910232544,0.02633110763864559
29,0.9703125,0.030189564337949868,0.9652777910232544,0.025437925942242146
